dma_id,dma_rank,dma_name,dma_pop,percent_hispanic,hispanic_population,number_of_stations,percent_pop_hsgrad,percent_age_greater60,percent_income_below_povertyline
500,80,"Portland-Auburn, ME",982332,0.0045,4420,3,0.8615,0.2529,0.1174
501,1,"New York, NY",20718216,0.1834,3799721,10,0.782,0.2171,0.1353
502,157,"Binghamton, NY",350555,0.0148,5188,2,0.831,0.2491,0.1488
503,120,"Macon, GA",669234,0.0249,16664,1,0.7542,0.2037,0.2214
504,4,"Philadelphia, PA",7982280,0.0786,627407,8,0.8142,0.2192,0.1281
505,11,"Detroit, MI",4830972,0.0231,111595,1,0.8396,0.2067,0.1614
506,7,"Boston, MA (Manchester, NH)",6259978,0.0656,410655,8,0.8588,0.2239,0.1037
507,92,"Savannah, GA",891000,0.061,54351,1,0.7799,0.2152,0.2026
508,23,"Pittsburgh, PA",2837175,0.0043,12200,4,0.8457,0.2599,0.1315
509,109,"Ft. Wayne, IN",714402,0.0343,24504,3,0.8441,0.1924,0.131
510,18,"Cleveland-Akron (Canton), OH",3852270,0.0225,86676,4,0.8316,0.2277,0.1513
511,8,"Washington, DC (Hagerstown, MD)",6389626,0.111,709248,5,0.8518,0.204,0.0881
512,27,"Baltimore, MD",2863577,0.0353,101084,1,0.8273,0.2184,0.1097
513,67,"Flint-Saginaw-Bay City, MI",1180278,0.0183,21599,8,0.8335,0.2196,0.1905
514,52,"Buffalo, NY",1603704,0.0257,41215,1,0.828,0.2375,0.1449
515,35,"Cincinnati, OH",2322224,0.0173,40174,1,0.8279,0.201,0.1415
516,146,"Erie, PA",411226,0.0169,6950,7,0.8401,0.2315,0.1743
517,25,"Charlotte, NC",2956493,0.0705,208433,3,0.7859,0.2015,0.1618
518,46,"Greensboro-High Point-Winston Salem, NC",1740372,0.0733,127569,6,0.7677,0.2252,0.1777
519,98,"Charleston, SC",796440,0.0396,31539,5,0.8067,0.2164,0.1747
520,113,"Augusta, GA-Aiken, SC",693711,0.0286,19840,4,0.7637,0.2026,0.2113
521,53,"Providence, RI-New Bedford, MA",1590455,0.0842,133916,3,0.7603,0.2279,0.1368
522,127,"Columbus, GA (Opelika, AL)",563980,0.0358,20190,10,0.7657,0.1901,0.2196
523,97,"Burlington, VT-Plattsburgh, NY",850355,0.0071,6038,4,0.8455,0.2393,0.1278
524,9,"Atlanta, GA",6311302,0.091,574328,2,0.8184,0.1808,0.1578
525,150,"Albany, GA",420059,0.0517,21717,5,0.6864,0.1791,0.2707
526,172,"Utica, NY",257402,0.0296,7619,3,0.7952,0.2555,0.1537
527,26,"Indianapolis, IN",2820868,0.0398,112271,3,0.8421,0.1984,0.1567
528,16,"Miami-Ft. Lauderdale, FL",4284694,0.2984,1278553,10,0.7384,0.2355,0.1792
529,48,"Louisville, KY",1704401,0.0266,45337,1,0.7981,0.2121,0.1563
530,106,"Tallahassee, FL-Thomasville, GA",733356,0.0413,30288,2,0.7793,0.1965,0.2445
531,96,"Tri-Cities, TN-VA",803098,0.0081,6505,3,0.6969,0.2507,0.201
532,58,"Albany-Schenectady-Troy, NY",1391143,0.0254,35335,5,0.842,0.2459,0.1207
533,30,"Hartford & New Haven, CT",2649282,0.1006,266518,5,0.8322,0.2354,0.1028
534,19,"Orlando-Daytona Beach-Melbourne, FL",3679151,0.1418,521704,7,0.8269,0.27,0.1531
535,32,"Columbus, OH",2347648,0.0216,50709,2,0.8486,0.1958,0.1628
536,110,"Youngstown, OH",674254,0.0132,8900,8,0.8243,0.2508,0.1745
537,155,"Bangor, ME",343779,0.0024,825,6,0.8445,0.255,0.1638
538,78,"Rochester, NY",1036730,0.0456,47275,1,0.8469,0.2226,0.1411
539,14,"Tampa-St. Petersburg (Sarasota), FL",4319713,0.1171,505838,7,0.8029,0.3034,0.1579
540,119,"Traverse City-Cadillac, MI",608374,0.0055,3346,3,0.8302,0.2722,0.1675
541,64,"Lexington, KY",1254419,0.0245,30733,1,0.7252,0.204,0.2164
542,63,"Dayton, OH",1324567,0.0095,12583,2,0.8389,0.2215,0.1585
543,114,"Springfield-Holyoke, MA",694319,0.1238,85957,3,0.8193,0.2239,0.155
544,44,"Norfolk-Portsmouth-Newport News, VA",1885568,0.0395,74480,1,0.8328,0.2014,0.1249
545,100,"Greenville-New Bern-Washington, NC",792878,0.0641,50823,1,0.7849,0.2122,0.1952
546,77,"Columbia, SC",1059018,0.0347,36748,2,0.7964,0.2112,0.1805
547,76,"Toledo, OH",1102371,0.0357,39355,2,0.8441,0.2098,0.153
548,38,"West Palm Beach-Ft. Pierce, FL",1922012,0.1351,259664,6,0.8093,0.3252,0.1474
549,177,"Watertown, NY",254593,0.0226,5754,3,0.8186,0.2,0.1573
550,132,"Wilmington, NC",453639,0.042,19053,3,0.804,0.2634,0.1894
551,115,"Lansing, MI",671135,0.0311,20872,3,0.8699,0.1998,0.1719
552,205,"Presque Isle, ME",71839,0.0021,151,2,0.7724,0.2738,0.14
553,180,"Marquette, MI",217757,0.0022,479,1,0.8648,0.2668,0.1531
554,158,"Wheeling, WV-Steubenville, OH",327174,0.0018,589,2,0.8095,0.2617,0.1675
555,84,"Syracuse, NY",1032202,0.0199,20541,3,0.84,0.2225,0.148
556,57,"Richmond-Petersburg, VA",1445451,0.0359,51892,2,0.8075,0.2176,0.1257
557,61,"Knoxville, TN",1333179,0.0234,31196,2,0.7385,0.2432,0.1768
558,199,"Lima, OH",105891,0.0107,1133,1,0.8301,0.2097,0.187
559,156,"Bluefield-Beckley-Oak Hill, WV",342171,0.0027,924,3,0.69,0.2562,0.2094
560,24,"Raleigh-Durham (Fayetteville), NC",2918565,0.0863,251872,3,0.8168,0.1977,0.1643
561,50,"Jacksonville, FL",1747376,0.051,89116,3,0.8217,0.2107,0.1627
563,39,"Grand Rapids-Kalamazoo-Battle Creek, MI",1980690,0.0522,103392,1,0.8416,0.197,0.1667
564,65,"Charleston-Huntington, WV",1231712,0.0026,3202,3,0.7285,0.2255,0.2094
565,174,"Elmira (Corning), NY",248664,0.0061,1517,3,0.8224,0.2446,0.1497
759,195,"Cheyenne, WY-Scottsbluff, NE",141147,0.0923,13028,1,0.8576,0.2178,0.1344
566,43,"Harrisburg-Lancaster-Lebanon-York, PA",1959339,0.0453,88758,1,0.7992,0.2308,0.1036
567,37,"Greenville-Spartanburg, SC-Asheville, NC-Anderson, SC",2178032,0.0425,92566,4,0.7635,0.2394,0.1762
569,178,"Harrisonburg, VA",251325,0.0479,12038,1,0.755,0.2333,0.153
570,103,"Myrtle Beach-Florence, SC",740197,0.0377,27905,3,0.7347,0.2171,0.2396
571,62,"Ft. Myers-Naples, FL",1182217,0.1486,175677,6,0.7869,0.3603,0.171
573,68,"Roanoke-Lynchburg, VA",1140257,0.0148,16876,2,0.749,0.2485,0.1629
574,102,"Johnstown-Altoona-State College, PA",761617,0.0074,5636,1,0.8193,0.2477,0.1527
575,87,"Chattanooga, TN",961367,0.0546,52491,3,0.7219,0.2246,0.1794
576,144,"Salisbury, MD",404244,0.0442,17868,2,0.7705,0.2853,0.1468
577,54,"Wilkes Barre-Scranton, PA",1530688,0.0316,48370,2,0.8066,0.2542,0.1416
581,154,"Terre Haute, IN",382119,0.0078,2981,1,0.7919,0.2105,0.1602
582,#N/A,"Lafayette, IN",181633,0.0599,10880,2,0.8908,0.1765,0.2046
583,208,"Alpena, MI",40605,0.0015,61,2,0.8201,0.3064,0.1672
584,183,"Charlottesville, VA",199431,0.0349,6960,2,0.8302,0.2243,0.1145
588,95,"South Bend-Elkhart, IN",893261,0.0568,50737,2,0.7909,0.2017,0.1606
592,163,"Gainesville, FL",320813,0.0565,18126,1,0.8497,0.2122,0.2534
596,203,"Zanesville, OH",85912,0.0017,146,1,0.8075,0.2217,0.178
597,193,"Parkersburg, WV",156328,0.0014,219,4,0.8244,0.2475,0.1556
598,170,"Clarksburg-Weston, WV",272629,0.0029,791,2,0.7525,0.2478,0.1901
600,129,"Corpus Christi, TX",572077,0.3769,215616,7,0.7173,0.1822,0.2127
602,3,"Chicago, IL",9631592,0.1598,1539128,10,0.8103,0.1918,0.1364
603,149,"Joplin, MO-Pittsburg, KS",389430,0.0298,11605,1,0.7986,0.2051,0.1785
604,138,"Columbia-Jefferson City, MO",465192,0.0117,5443,2,0.8302,0.2075,0.1649
605,136,"Topeka, KS",461733,0.059,27242,1,0.8807,0.1998,0.1588
606,169,"Dothan, AL",276582,0.0266,7357,2,0.7436,0.2211,0.1922
609,21,"St. Louis, MO",3179854,0.0131,41656,1,0.8256,0.217,0.1345
610,135,"Rockford, IL",489216,0.0812,39724,3,0.8188,0.2116,0.1522
611,153,"Rochester, MN-Mason City, IA-Austin, MN",365880,0.03,10976,2,0.865,0.2279,0.1051
612,82,"Shreveport, LA",966078,0.0455,43957,6,0.7557,0.2064,0.1986
613,15,"Minneapolis-St. Paul, MN",4507442,0.0354,159563,5,0.8835,0.2004,0.1112
616,31,"Kansas City, MO",2367371,0.0561,132810,4,0.8692,0.1979,0.1292
617,34,"Milwaukee, WI",2310059,0.0719,166093,2,0.8325,0.2083,0.1455
618,10,"Houston, TX",6241727,0.2677,1670910,11,0.7589,0.1635,0.1661
619,74,"Springfield, MO",1053630,0.0175,18439,3,0.7939,0.2498,0.1827
622,51,"New Orleans, LA",1665759,0.0464,77291,3,0.7691,0.1945,0.1825
623,5,"Dallas-Ft. Worth, TX",6943468,0.2064,1433132,16,0.7975,0.1691,0.146
624,147,"Sioux City, IA",411529,0.0722,29712,1,0.8236,0.2066,0.1217
625,88,"Waco-Temple-Bryan, TX",1003621,0.1725,173125,4,0.7942,0.1684,0.1955
626,204,"Victoria, TX",86768,0.3058,26534,3,0.7509,0.1793,0.182
627,143,"Wichita Falls, TX & Lawton, OK",428128,0.0934,39987,4,0.8001,0.196,0.1701
628,137,"Monroe, LA-El Dorado, AR",480865,0.0098,4712,2,0.7212,0.1898,0.2334
630,42,"Birmingham (Anniston and Tuscaloosa), AL",1876933,0.0274,51428,10,0.7703,0.2095,0.1837
631,200,"Ottumwa, IA-Kirksville, MO",125498,0.0237,2974,5,0.8047,0.2296,0.1784
632,81,"Paducah, KY-Cape Girardeau, MO-Harrisburg, IL",993155,0.01,9932,6,0.7429,0.2342,0.1908
633,152,"Odessa-Midland, TX",384397,0.3287,126351,1,0.6885,0.1751,0.1799
634,130,"Amarillo, TX",479649,0.2313,110943,11,0.7431,0.1837,0.1677
635,45,"Austin, TX",1857783,0.2363,438994,1,0.8373,0.1792,0.1533
636,86,"Harlingen-Weslaco-Brownsville-McAllen, TX",1263544,0.4894,618378,11,0.501,0.1393,0.3449
637,90,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",875354,0.0166,14531,2,0.8799,0.2198,0.1235
638,201,"St. Joseph, MO",128913,0.0224,2888,3,0.8148,0.202,0.1499
639,176,"Jackson, TN",197483,0.0155,3061,4,0.7439,0.2091,0.1979
640,49,"Memphis, TN",1852525,0.0331,61319,2,0.7619,0.1816,0.2077
641,36,"San Antonio, TX",2455472,0.3609,886180,19,0.7566,0.1879,0.1753
642,124,"Lafayette, LA",616139,0.0151,9304,7,0.7037,0.1729,0.2058
643,175,"Lake Charles, LA",260271,0.0121,3149,5,0.7597,0.1913,0.1751
644,179,"Alexandria, LA",248720,0.022,5472,1,0.7371,0.1832,0.1863
647,188,"Greenwood-Greenville, MS",196330,0.0089,1747,4,0.637,0.1696,0.3524
648,83,"Champaign & Springfield-Decatur, IL",978642,0.0166,16245,2,0.849,0.2109,0.1549
649,104,"Evansville, IN",735685,0.0119,8755,3,0.7955,0.2238,0.1502
650,41,"Oklahoma City, OK",1745760,0.0798,139312,4,0.8316,0.1981,0.1643
651,142,"Lubbock, TX",442555,0.2702,119578,3,0.7227,0.1682,0.2079
652,75,"Omaha, NE",1080228,0.0694,74968,1,0.8678,0.2018,0.1219
656,159,"Panama City, FL",348349,0.0282,9823,3,0.7676,0.2614,0.1735
657,161,"Sherman, TX-Ada, OK",328687,0.0497,16336,2,0.7653,0.2318,0.1767
658,69,"Green Bay-Appleton, WI",1113369,0.0273,30395,2,0.8549,0.2193,0.1104
659,29,"Nashville, TN",2629977,0.0476,125187,3,0.7796,0.196,0.1674
661,196,"San Angelo, TX",141548,0.2418,34226,1,0.7381,0.218,0.191
662,164,"Abilene-Sweetwater, TX",305893,0.1559,47689,5,0.7526,0.228,0.1924
669,85,"Madison, WI",953261,0.0374,35652,1,0.8771,0.2135,0.1251
670,101,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",798422,0.1046,83515,4,0.7498,0.2043,0.1692
671,59,"Tulsa, OK",1363613,0.0562,76635,4,0.8143,0.2169,0.1646
673,133,"Columbus-Tupelo-West Point-Houston, MS",493383,0.0104,5131,5,0.6957,0.1999,0.2293
675,116,"Peoria-Bloomington, IL",647210,0.019,12297,4,0.8582,0.2168,0.1198
676,139,"Duluth, MN-Superior, WI",419713,0.0029,1217,3,0.8619,0.2607,0.1573
678,66,"Wichita-Hutchinson, KS Plus",1190394,0.0953,113445,2,0.836,0.199,0.14
679,72,"Des Moines-Ames, IA",1093024,0.0381,41644,3,0.8768,0.2147,0.1178
682,99,"Davenport, IA-Rock Island-Moline, IL",772738,0.047,36319,1,0.8344,0.2337,0.1328
686,60,"Mobile, AL-Pensacola (Ft. Walton Beach), FL",1367731,0.0257,35151,4,0.806,0.2138,0.1764
687,151,"Minot-Bismarck-Dickinson (Williston), ND",344572,0.0062,2136,1,0.8279,0.2326,0.1277
691,79,"Huntsville-Decatur (Florence), AL",1001855,0.0498,49892,4,0.7596,0.2122,0.1594
692,141,"Beaumont-Port Arthur, TX",460663,0.0923,42519,1,0.7725,0.2043,0.1976
693,56,"Little Rock-Pine Bluff, AR",1453998,0.0312,45365,3,0.7832,0.2175,0.1784
698,118,"Montgomery-Selma, AL",640834,0.0176,11279,2,0.7532,0.1991,0.2206
702,128,"La Crosse-Eau Claire, WI",557881,0.0103,5746,4,0.8433,0.2221,0.1445
705,134,"Wausau-Rhinelander, WI",449604,0.0087,3912,2,0.8348,0.2451,0.1232
709,107,"Tyler-Longview(Lufkin & Nacogdoches), TX",731883,0.1284,93974,7,0.7533,0.2157,0.1875
710,167,"Hattiesburg-Laurel, MS",294985,0.0184,5428,1,0.7417,0.1855,0.232
711,186,"Meridian, MS",186450,0.0045,839,1,0.6953,0.1993,0.242
716,94,"Baton Rouge, LA",903913,0.0243,21965,1,0.7829,0.1742,0.1677
717,171,"Quincy, IL-Hannibal, MO-Keokuk, IA",266781,0.0069,1841,2,0.8254,0.2421,0.155
718,93,"Jackson, MS",911491,0.0155,14128,2,0.7507,0.181,0.2197
722,105,"Lincoln & Hastings-Kearney, NE",714973,0.053,37894,2,0.8688,0.2149,0.1314
724,117,"Fargo-Valley City, ND",607334,0.0117,7106,2,0.8519,0.2227,0.1276
725,112,"Sioux Falls(Mitchell), SD",669545,0.019,12721,2,0.8459,0.2111,0.1315
734,181,"Jonesboro, AR",207433,0.0174,3609,1,0.734,0.2137,0.2032
736,182,"Bowling Green, KY",209255,0.0239,5001,1,0.7414,0.1975,0.2057
737,198,"Mankato, MN",135923,0.0239,3249,2,0.8613,0.2282,0.1342
740,209,"North Platte, NE",37584,0.0273,1026,1,0.8583,0.2068,0.124
743,145,"Anchorage, AK",394801,0.0495,19543,1,0.8908,0.177,0.1001
744,71,"Honolulu, HI",1283869,0.083,106561,12,0.8489,0.2397,0.1108
745,202,"Fairbanks, AK",97557,0.0397,3873,1,0.9212,0.163,0.094
746,160,"Biloxi-Gulfport, MS",344377,0.034,11709,1,0.8012,0.1864,0.1841
747,207,"Juneau, AK",29869,0.0384,1147,1,0.9269,0.2008,0.082
749,184,"Laredo, TX",264322,0.5008,132372,2,0.5428,0.1149,0.3154
751,17,"Denver, CO",3898130,0.1586,618243,12,0.8617,0.2031,0.127
752,89,"Colorado Springs-Pueblo, CO",873727,0.1495,130622,1,0.8884,0.1969,0.1507
753,13,"Phoenix (Prescott), AZ",4827208,0.2183,1053780,9,0.7884,0.2296,0.1715
754,187,"Butte-Bozeman, MT",165952,0.0103,1709,3,0.9054,0.2192,0.1447
755,190,"Great Falls, MT",108682,0.0089,967,2,0.85,0.2266,0.164
756,168,"Billings, MT",226052,0.0191,4318,1,0.8681,0.2363,0.1386
757,111,"Boise, ID",717948,0.1046,75097,2,0.8463,0.1911,0.1691
758,162,"Idaho Falls-Pocatello, ID (Jackson, WY)",333580,0.0841,28054,1,0.847,0.1615,0.1589
760,191,"Twin Falls, ID",180537,0.1609,29048,2,0.7852,0.1741,0.1537
762,166,"Missoula, MT",287873,0.0092,2648,7,0.8828,0.2426,0.1613
764,173,"Rapid City, SD",247866,0.0154,3817,3,0.8546,0.2236,0.1625
765,91,"El Paso, TX (Las Cruces, NM)",1011496,0.4646,469941,9,0.6648,0.1531,0.2478
766,206,"Helena, MT",69061,0.0081,559,5,0.9075,0.2472,0.1143
767,197,"Casper-Riverton, WY",135362,0.0359,4859,4,0.8659,0.2178,0.1145
770,33,"Salt Lake City, UT",2766971,0.11,304367,7,0.8746,0.1451,0.1306
771,165,"Yuma, AZ-El Centro, CA",369621,0.4825,178342,5,0.5989,0.1982,0.2167
773,185,"Grand Junction-Montrose, CO",187953,0.1137,21370,3,0.8395,0.2413,0.1477
789,70,"Tucson (Sierra Vista), AZ",1155395,0.2713,313459,2,0.8089,0.2438,0.1821
790,47,"Albuquerque-Santa Fe, NM",1609584,0.2998,482553,15,0.7823,0.2071,0.1922
798,210,"Glendive, MT",10067,0.0051,51,4,0.8232,0.2683,0.1276
800,126,"Bakersfield, CA",759820,0.4192,318517,2,0.6689,0.1523,0.214
801,121,"Eugene, OR",608754,0.0467,28429,3,0.8637,0.2546,0.1917
802,194,"Eureka, CA",163202,0.0827,13497,5,0.8284,0.2324,0.1899
803,2,"Los Angeles, CA",17544275,0.3589,6296640,29,0.7239,0.1807,0.1632
804,148,"Palm Springs, CA",423930,0.3921,166223,5,0.6933,0.2704,0.164
807,6,"San Francisco-Oakland-San Jose, CA",7030450,0.2067,1453194,10,0.8298,0.2144,0.1125
810,123,"Yakima-Pasco-Richland-Kennewick, WA",672137,0.2704,181746,5,0.7493,0.1875,0.1855
811,108,"Reno, NV",694444,0.1653,114792,6,0.8295,0.2235,0.1405
813,140,"Medford-Klamath Falls, OR",425410,0.0692,29438,1,0.8282,0.2878,0.1726
819,12,"Seattle-Tacoma, WA",4680085,0.0773,361771,13,0.8796,0.2162,0.1215
820,22,"Portland, OR",3107494,0.1018,316343,6,0.8485,0.2132,0.1465
821,192,"Bend, OR",157857,0.0568,8966,5,0.882,0.2552,0.148
825,28,"San Diego, CA",3084970,0.2677,825846,4,0.8092,0.1981,0.148
828,125,"Monterey-Salinas, CA",732087,0.3817,279438,8,0.7263,0.1879,0.1573
839,40,"Las Vegas, NV",1987716,0.246,488978,4,0.7818,0.2219,0.1508
855,122,"Santa Barbara-Santa Maria-San Luis Obispo, CA",693526,0.2714,188223,2,0.7989,0.2243,0.1637
862,20,"Sacramento-Stockton-Modesto, CA",4034836,0.2277,918732,13,0.7956,0.199,0.1603
866,55,"Fresno-Visalia, CA",1950893,0.426,831080,21,0.6508,0.1554,0.2497
868,131,"Chico-Redding, CA",509955,0.1123,57268,10,0.805,0.2463,0.1933
881,73,"Spokane, WA",1038919,0.0558,57972,5,0.8514,0.2245,0.1657